日付,作業時間,ジム,最高気温,降水量,歩数
5月7日,578,1,23.4,4,4465
5月8日,394,0,22.6,0,3929
5月9日,494,1,22.8,5,8679
5月12日,360,0,17.4,9,4615
5月13日,394,1,27,0,4234
5月14日,305,0,27.2,0,4346
5月15日,240,1,27.1,0,7867
5月16日,270,0,27.2,0,8767
5月17日,330,1,23.2,23,8129
5月18日,470,0,27,0,5838
5月19日,275,1,21.4,0,8434
5月20日,390,0,28.8,0,4390
5月21日,480,1,29.6,0,5411
5月22日,379,0,29.2,0,3556
5月23日,300,1,22.3,0,9130
5月26日,402,0,20.7,0,2832
5月27日,445,1,19.4,0,5328
5月28日,465,0,23.4,0,3184
5月29日,427,1,24.4,1.5,5980
5月30日,140,0,16.8,24,10247
5月31日,180,1,16.3,11.5,8488
6月1日,420,0,24.3,0,3063
6月2日,550,1,24.9,0.5,3892
6月3日,470,0,20.4,30,5465
6月4日,461,1,27.7,0.5,4680
6月5日,242,0,29.6,0,6829
6月6日,360,1,28.9,0,3762
6月7日,390,0,28.2,0,3809
6月8日,300,1,28.7,0,4122
6月9日,530,0,27.8,0.5,4009
6月10日,390,1,21.4,9,6669
6月11日,515,0,23.6,22,5000
6月12日,445,1,27.4,0,5738
6月13日,596,0,26.3,0,3167
6月14日,146,1,26.1,6.5,6735
6月15日,103,0,28.9,6,10381
6月16日,280,1,32,0,7620
6月17日,547,0,34.9,0,4845
6月18日,597,1,33.2,0,5374
6月19日,527,0,33.6,0,4380
6月20日,300,1,31.3,0,7892
6月21日,137,0,31.5,0,4230
6月22日,203,1,30.4,0,5251
6月23日,558,0,32.3,0,4248
6月24日,355,1,30.4,0,6020
6月25日,369,0,28.1,33.5,3862
6月26日,465,1,32.2,5,5191